pregunta|id
Was there another way to cross the river?|aJSh1zkPEvc
What would you have asked to Death?|aJSh1zkPEvc
Tell a tale|aJSh1zkPEvc
#Have_Charlie (1)|
What would you do to get a golden ticket?|GaogCmNpYtw
Do you tink that you could eat as much chocolate as Augustus?_Why?|GaogCmNpYtw
Do you think that what Verona did was fair?_Why?|GaogCmNpYtw
Have you been part of a competition?|GaogCmNpYtw
#hearing|
What do you think can help you to take care of your ear?|VxcbppCX6Rk
What frequency do you think elephants can hear?|VxcbppCX6Rk
Which is the highest frequency that a human can hear?|VxcbppCX6Rk
Which is the lowest frequency that a human can hear?|VxcbppCX6Rk
#imperative_shrek_correctec|
Who is your favorite princess?_Why?|mFl8nzZuExE
Which of the three princesses would you have chosen?_Why?|mFl8nzZuExE
Should a princess marry if she isn’t in love?_Why?|mFl8nzZuExE
What is a request that a king could make you?|mFl8nzZuExE
#imperative_trolls_corrected (1)|
Are you afraid of tunnels or heights?_Why?|En7TapBA84M
What is something you don’t find cool when they request you to do it? |En7TapBA84M
What is your favorite joke? |En7TapBA84M
What is a request that you would like to make to your classmates?|En7TapBA84M
#infinitives_fr_reasons_commented_corrected27marzo|
Why do we need to know how photosynthesis works?|JJxZH_Y5D4s
Why do we need to be concerned global warming?|JJxZH_Y5D4s
Why do we need to find a sustainable way of living?|JJxZH_Y5D4s
Why do we need to recycle, reuse and reduce every day?|JJxZH_Y5D4s
#KaratePhrasalverbs|
What would you do if you where in Dre situation?|G6f0w5BRasw
Why do you think that Mr. Han does that kind of training?|G6f0w5BRasw
Do you think that you will be able to follow that training?_Why?|G6f0w5BRasw
What would you do to learn Kung Fu?|G6f0w5BRasw
#Lion_king__third_person_present_simple(1)|
What's your favorite character from the video?|7TavVZMewpY
What does your favorite character from the movie do on the video?|7TavVZMewpY
What does your favorite animal usually do?|7TavVZMewpY
What does you friend or teacher usually do?|7TavVZMewpY
#Oregon_Forest_present_con (1)|
