#adjectives_kung_fu_panda_comented (1)||
"<p><span class="remover">When I have a headache</span>, I take an aspirin.</p>"|4|zBnKgwnn7i7
"<p><span class="remover">When I add much sugar to my coffee</span>, it tastes sweet.</p>"|5|zBnKgwnn7i8
"<p><span class="remover">A dog bites</span> if you go near its food when it's eating.</p>"|6|zBnKgwnn7i9
"<p>If you pull a cat's tail, <span class="remover">it scratches</span>.</p>"|7|zBnKgwnn7i10
"<p><span class="remover">You can have an accident</span> when you don't wear a seat belt.</p>"|8|zBnKgwnn7i11
"<p>Plants can die <span class="remover">if you do not water them</span>.</p>"|9|zBnKgwnn7i12
"<p>When you press this switch, <span class="remover">the light turns on</span>.</p>"|10|zBnKgwnn7i13
#experiments||
"<p>Acid/Base Science Experiment Cabbage Indicator You will need: -a jar of pickled red cabbage from the grocery -vinegar -baking soda -a drinking glass Traditionally, to do this experiment, you need a fresh, red cabbage. You grate up the cabbage and then use one of several methods to extract the juice from it. Instead, we will just open the jar of pickled red cabbage and drain the juice from that into a glass. You can save the cabbage to have with your supper. Be sure to at least try a taste, as many people like it. I know I do.<span class="remover">Pour</span> some of the juice into a saucer. Now comes the fun part.</p>"|1|7-BYKKtXCGU
"<p><span class="remover">Sprinkle</span> just a tiny pinch of baking soda into the juice. <span class="remover">Watch</span> what happens. As soon as the white baking soda hits the red cabbage juice, you get green foam. If you put in much baking soda, you will get a lot of green foam, so be ready to clean up your mess. Eventually, all of your red cabbage juice will turn green. It seems that our experiment is over, but it is not. Now it is time to get out the vinegar.</p>"|2|7-BYKKtXCGU
"<p><span class="remover">Add</span> a little vinegar to the green cabbage juice. What do you get? Pink foam! Again, there is the potential for lots of mess, so either be careful or have lots of paper towels ready.</p>"|3|7-BYKKtXCGU
<p>Once your cabbage juice is red again, guess what comes next. More baking soda and more green foam. You can keep going back and forth, over and over. Why?</p>|4|7-BYKKtXCGU
#ferdinand_demostratives||
"<p><span class="remover">That</span> is a black bull.</p>"|1|4eaITAbJ7YM
"<p><span class="remover">Those</span> are horses.</p>"|2|4eaITAbJ7YM
"<p><span class="remover">This</span> is a goat.</p>"|3|4eaITAbJ7YM
"<p><span class="remover">These</span> are hedgehog.</p>"|4|4eaITAbJ7YM
"<p><span class="remover">This</span> is a hosepipe.</p>"|5|4eaITAbJ7YM
"<p><span class="remover">These</span> are beautiful hooves.</p>"|6|4eaITAbJ7YM
#Finding_Nemo_indefinite_pronouns||
"<p>Dory couldn´t see <span class="remover">anything</span> in the deep of the sea.</p>"|1|udbUNzL7odo
"<p>Marvin looked for Nemo <span class="remover">eveywhere</span>.</p>"|2|udbUNzL7odo
"<p><span class="remover">Everybody</span> loves the sea.</p>"|3|udbUNzL7odo
"<p>Marvin will do <span class="remover">everything</span> to find Nemo.</p>"|4|udbUNzL7odo
"<p>Dory wanted to play <span class="remover">something</span> to make the trip enjoyable.</p>"|5|udbUNzL7odo
#Have_Charlie (1)||
"<p>Augustus loves <span class="remover">eating</span> chocolate.</p>"|1|GaogCmNpYtw
"<p><span class="remover">Cheating</span> is not very good in a competition Veruca.</p>"|2|GaogCmNpYtw
"<p>You can get a Golden Ticket by <span class="remover">findingit</span> in a Wonka bar.</p>"|3|GaogCmNpYtw
"<p>Veruca´s family popularity is <span class="remover">rising</span>.</p>"|4|GaogCmNpYtw
"<p>The workers task is really <span class="remover">boring</span>.</p>"|5|GaogCmNpYtw
"<p>The golden Ticket was <span class="remover">laying</span> on the bar.</p>"|6|GaogCmNpYtw
"<p>Veruca is <span class="remover">hating</span> to wait for her ticket.</p>"|7|GaogCmNpYtw
"<p>Augustus´ mother is <span class="remover">helping</span> his son by buying more bars</p>"|8|GaogCmNpYtw
"<p>The women are <span class="remover">working</span> day and knight for the Golden Ticket.</p>"|9|GaogCmNpYtw
#imperative_trolls_corrected (1)||
"<p>Please <span class="remover">don´t go</span> to that tunnel, you will not be safe there.</p>"|1|En7TapBA84M
"<p><span class="remover">Joke</span> with him, then he will help us.</p>"|2|En7TapBA84M
"<p><span class="remover">Don´t chase</span> him, we need Cloud Guy´s help.</p>"|3|En7TapBA84M
"<p><span class="remover">Give</span> me a high five, Branch!</p>"|4|En7TapBA84M
"<p><span class="remover">Don´t worry</span>, we will save the trolls.</p>"|5|En7TapBA84M
"<p><span class="remover">Turn</span> right and go through the tunnel. Then, you will find the Bergens Town.</p>"|6|En7TapBA84M
#infinitives_fr_reasons_commented_corrected27marzo||
"<p>We have to do exercise regularly  <span class="remover">to be in shape</span>.</p>"|1|JJxZH_Y5D4s
"<p>We need to water plants to <span class="remover">make them grow bigger and stronger</span>.</p>"|2|JJxZH_Y5D4s
"<p>It´s important study at home to <span class="remover">pass with flying colors</span>.</p>"|3|JJxZH_Y5D4s
"<p>Sleep well helps us to <span class="remover">be healthy and happy</span>.</p>"|4|JJxZH_Y5D4s
"<p>Our diet needs to contain fruits and vegetables <span class="remover">to have nutrients in our body</span></p>"|5|JJxZH_Y5D4s
#KaratePhrasalverbs||
"<p>Dre <span class="remover">came</span> up with the idea of participating in a Kung Fu Tournament because of a fight.</p>"|1|G6f0w5BRasw
"<p>He <span class="remover">gave</span> up street fights and set up to train for the tournament.</p>"|2|G6f0w5BRasw
"<p>2 Mr. Han had no luck finding a student. Several students have <span class="remover">turned</span> him down because of his method:</p>"|3|G6f0w5BRasw
"<p>they only want to <span class="remover">take</span> on teachers with conventional training.</p>"|4|G6f0w5BRasw
"<p>Now he is <span class="remover">looking</span> into the possibility of training Dre.</p>"|5|G6f0w5BRasw
"<p>3 Dre doesn´t know if he can <span class="remover">put</span> up with Mr. Han for much longer</p>"|6|G6f0w5BRasw
"<p> he´s always <span class="remover">telling</span> him off for the way Dre takes off his jacket.</p>"|7|G6f0w5BRasw
"<p>He <span class="remover">get</span> on OK with Mr. Han before but know he can�t stand him.</p>"|8|G6f0w5BRasw
#percy||
"<p>Hermes said that Percy cannot <span class="remover">give up</span> on family.</p>"|1|w6aYjbpBm-E
"<p>To release the winds, you have to <span class="remover">twist off</span> the cap.</p>"|2|w6aYjbpBm-E
"<p>Luke <span class="remover">looks for</span> the Golden Fleece to revive Chronos.</p>"|3|w6aYjbpBm-E
"<p><span class="remover">Turns out that</span> Chronos is Poseidon, Hades, and Zeus´ father.</p>"|4|w6aYjbpBm-E
"<p>Percy <span class="remover">hung on</span> to a rock to keep from falling.</p>"|5|w6aYjbpBm-E
"<p>Percy and his friend were <span class="remover">looking for</span> Hermes.</p>"|6|w6aYjbpBm-E
"<p>Percy <span class="remover">hung on</span> to the cab.</p>"|7|w6aYjbpBm-E
#present_cont_sponge_bob||
"<p>Please tell Sponge Bob that he needs to zip it, the costumers <span class="remover">are leaving</span>.</p>"|1|3FKMUa7vCZU
"<p>Plankton <span class="remover">is escaping</span>, don´t let him go!</p>"|2|3FKMUa7vCZU
"<p>Plankton is not <span class="remover">understanding</span> Mr Krab´s joke.</p>"|3|3FKMUa7vCZU
"<p>Mr Krab and Sponge Bob <span class="remover">are losing</span> their minds over the formula.</p>"|4|3FKMUa7vCZU
"<p>Someone <span class="remover">is hiding</span> the secret formula.</p>"|5|3FKMUa7vCZU
"<p>Sponge Bob <span class="remover">is not recalling</span> the Krabby Patty recipe.</p>"|6|3FKMUa7vCZU
#SHERLOCKWh||
"<p><span class="remover">Woody</span> is the name of the guys in the cab?</p>"|1|Ho6t683GazQ
"<p><span class="remover">Woody</span> day did they meet?</p>"|2|Ho6t683GazQ
"<p><span class="remover">Woody</span> did Sherlock say p>span.remover{When}+{ John asked about his job?</p>"|3|Ho6t683GazQ
"<p><span class="remover">When</span> did Sherlock saw Johns phone?</p>"|4|Ho6t683GazQ
"<p><span class="remover">When</span> did took the cab?</p>"|5|Ho6t683GazQ
"<p><span class="remover">Where</span> is John´s brother?</p>"|6|Ho6t683GazQ
"<p><span class="remover">Woody</span> is John´s leg problem?</p>"|7|Ho6t683GazQ
"<p><span class="remover">Where</span> are they going?</p>"|8|Ho6t683GazQ
"<p><span class="remover">Woody</span> are they doing in the crime scene?</p>"|9|Ho6t683GazQ
#superlative__3_-_planets||
"<p>Mr. Brown is <span class="remover">the most experienced</span> tutor in our university.</p>"|1|libKVRa01L8
"<p><span class="remover">The most interesting</span> film we've ever seen is "Enter the Dragon".</p>"|2|libKVRa01L9
"<p>It was Chris who wrote <span class="remover">the most brilliant</span> composition.</p>"|3|libKVRa01L10
"<p>Tom's room is <span class="remover">the cleanest</span> of all.</p>"|4|libKVRa01L11
"<p>Of all Polish writers, Sienkiewicz is one of <span class="remover">the greatest</span>.</p>"|5|libKVRa01L12
"<p>Jim is <span class="remover">most difficult</span> student in my class.</p>"|6|libKVRa01L13
"<p>Ann is <span class="remover">the most hard-working</span>   student in our group.</p>"|7|libKVRa01L14
"<p>Egypt is one of <span class="remover">the oldest</span> countries in the world.</p>"|8|libKVRa01L15
"<p>Canada is the second <span class="remover">the largest</span> country in the world.</p>"|9|libKVRa01L16
"<p>For many years, the Beatles were <span class="remover">the most popular</span> group.</p>"|10|libKVRa01L17
#superlative_1-_toy_story (1)||
"<p>This is the <span class="remover">highest</span> mountain in Australia.</p>"|1|w1rKocEL1Eg
"<p>That's the <span class="remover">poorest</span> country in the world.</p>"|2|w1rKocEL1Eg
"<p>They're the <span class="remover">most beautiful</span> flowers I've ever seen.</p>"|3|w1rKocEL1Eg
"<p>George is the <span class="remover">fastest</span> runner in the race.</p>"|4|w1rKocEL1Eg
"<p>Anne is the <span class="remover">youngest</span> in class.</p>"|5|w1rKocEL1Eg
"<p>That's the <span class="remover">most difficult</span> exercise I've ever done.</p>"|6|w1rKocEL1Eg
"<p>This is the <span class="remover">busiest</span> restaurant I know.</p>"|7|w1rKocEL1Eg
"<p>Who has the <span class="remover">slowest</span> car?</p>"|8|w1rKocEL1Eg
"<p>Your pillow is the <span class="remover">softest</span>.</p>"|9|w1rKocEL1Eg
"<p>The room at the back is the <span class="remover">quietest</span>.</p>"|10|w1rKocEL1Eg
#to_be_abominable||
"<p>Yi <span class="remover">is</span> a Chinese girl.</p>"|1|XrgVtuDRBjM
"<p>Peng and Jin <span class="remover">are</span> Yi´s friends.</p>"|2|XrgVtuDRBjM
<p>There span.remover{are} people looking for Everest.</p>|3|XrgVtuDRBjM
"<p>The jeti´s name <span class="remover">is</span> Everest.</p>"|4|XrgVtuDRBjM
"<p>I <span class="remover">am</span> a good person.</p>"|5|XrgVtuDRBjM
<p>Traveling to the Everest It is<span class="remover">an amazing experience</span>!</p>|6|XrgVtuDRBjM
"<p>Magic <span class="remover">is</span> possible.</p>"|7|XrgVtuDRBjM
"<p>Peng <span class="remover">is</span> fine.</p>"|8|XrgVtuDRBjM
"<p>Everest <span class="remover">is</span> a boy.</p>"|9|XrgVtuDRBjM
"<p>Yi and her friends <span class="remover">are</span> from China.</p>"|10|XrgVtuDRBjM
#to_be_ralph(1) (1)||
"<p>Ralph <span class="remover">is</span> big.</p>"|1|Jh0cBfaT8Kw
"<p>Vanellope and Ralph <span class="remover">are</span> friends.</p>"|2|Jh0cBfaT8Kw
"<p>Ralph <span class="remover">is</span> not a hobo.</p>"|3|Jh0cBfaT8Kw
"<p>Candy Rush <span class="remover">is</span> sweet place.</p>"|4|Jh0cBfaT8Kw
"<p>I <span class="remover">am</span>  a good person.</p>"|5|Jh0cBfaT8Kw
"<p>They <span class="remover">are</span> part of a videogame.</p>"|6|Jh0cBfaT8Kw
"<p>You <span class="remover">are</span> not from here.</p>"|7|Jh0cBfaT8Kw
"<p>I <span class="remover">am</span> not Ralph.</p>"|8|Jh0cBfaT8Kw
"<p>You <span class="remover">are</span> not Vanellope.</p>"|9|Jh0cBfaT8Kw
"<p>Ralph and Vanellope <span class="remover">are</span> not animals.</p>"|10|Jh0cBfaT8Kw
#video_goingto_NEMO (1)||
"<p>Doory <span class="remover">is going</span> to find more fish.</p>"|1|fMTHrvskSW8
"<p>Doory <span class="remover">is going</span> to escape from the Carnivore Fish swimming very fast to the surface.</p>"|2|fMTHrvskSW9
"<p>Marvin <span class="remover">is going</span> to search Nemo.</p>"|3|fMTHrvskSW10
"<p>Doory <span class="remover">is going</span> to help Marvin find his son.</p>"|4|fMTHrvskSW11
"<p>Doory and Marvin <span class="remover">are going</span> to travel to Australia to find Nemo.</p>"|5|fMTHrvskSW12
"<p>Nemo <span class="remover">is going</span> to look the way to go back home.</p>"|6|fMTHrvskSW13
"<p>Doory and Marvin <span class="remover">are going</span> to live many adventures.</p>"|7|fMTHrvskSW14
"<p>Marvin <span class="remover">is going</span> to rescue Nemo.</p>"|8|fMTHrvskSW15
"<p>Marvin and Doory <span class="remover">are going</span> to be good friends.</p>"|9|fMTHrvskSW16
"<p>Marvin <span class="remover">is going</span> to meet new friends.</p>"|10|fMTHrvskSW17
"<p>Doory <span class="remover">is going</span> to speak with a whale.</p>"|11|fMTHrvskSW18
#White_Lion||
<p>The lion is span.remover{captured} by the hunters.</p>|1|yyw-9qg97RQ
"<p>Legends about the white lion <span class="remover">is told</span> in Shangaan.</p>"|2|yyw-9qg97RQ
"<p>The white lion <span class="remover">was born</span> in Africa.</p>"|3|yyw-9qg97RQ
"<p>A new home is <span class="remover">found by</span> the white lion.</p>"|4|yyw-9qg97RQ
"<p>Zebras <span class="remover">are eaten</span> by lions.</p>"|5|yyw-9qg97RQ
"<p>The lion <span class="remover">is helped</span> by the keeper.</p>"|6|yyw-9qg97RQ
#whquestions_cinderella||
"<p><span class="remover">What</span> is her name? Her name is Ella.</p>"|1|20DF6U1HcGQ
"<p><span class="remover">Who</span> is him? He is the prince.</p>"|2|20DF6U1HcGQ
"<p><span class="remover">Why</span> is Ella crying? Because she cannot go to the Ball.</p>"|3|20DF6U1HcGQ
"<p><span class="remover">Where</span> does the prince live? In the palace.</p>"|4|20DF6U1HcGQ
"<p><span class="remover">How</span> does Ella look like? She is blond, thin, and beautiful.</p>"|5|20DF6U1HcGQ
"<p><span class="remover">When</span> is the Ball? At night.</p>"|6|20DF6U1HcGQ
#why_do_birds_fly_like_this_conditionals||
"<p>If I were a bird, <span class="remover">I could fly</span>.</p>"|1|z1sWpfrKEE
"<p>If a bird stays above land, <span class="remover">it will die</span>.</p>"|2|z1sWpfrKEE
"<p>If a bird flies straight, <span class="remover">it flies longer</span>.</p>"|3|z1sWpfrKEE
"<p>If a bird flies with the wind at its back, <span class="remover">it can increase its speed</span>.</p>"|4|z1sWpfrKEE
"<p>If birds did not migrate, <span class="remover">they could not reproduce</span>.</p>"|5|z1sWpfrKEE
"<p>If birds had not existed, <span class="remover">insects would have invaded Earth</span>.</p> "|6|z1sWpfrKEE
#Work_phrasal_verbs||
"<p>The chief <span class="remover">called off</span> the today´s meeting due to the earthquake.</p>"|1|3F-WSUSE2s
"<p>Oh, it´s late! Let´s <span class="remover">crack on</span>!.</p>"|2|3F-WSUSE2s
"<p>I have a lot of work to <span class="remover">get through</span>.</p>"|3|3F-WSUSE2s
"<p>I´ll travel to Cancun next week. I´ll <span class="remover">be off</span> for 3 days.</p>"|4|3F-WSUSE2s
"<p>I wrote a letter of complaint, and the airline have promised to <span class="remover">look into</span> the matter.</p>"|5|3F-WSUSE2s
"<p>The meeting is starting; people need to <span class="remover">settle down</span> and pay attention.</p>"|6|3F-WSUSE2s
"<p>I´m not feeling well. I think you should <span class="remover">take over</span> my activities today.</p>"|7|3F-WSUSE2s
"<p>Dr. Brown is sick today; Dr. White will <span class="remover">fill in</span> him.</p>"|8|3F-WSUSE2s
"<p><span class="remover">I´ll point out</span> the pros of the project on the meeting.</p>"|9|3F-WSUSE2s
"<p>I hate to <span class="remover">bring up</span> this but you still owe me &#163; 50.</p>"|10|3F-WSUSE2s
